ACC_NUCCORE,Host_BIOSAMPLE,IsolationSource_BIOSAMPLE,sample_class
CP073594.1,Homo sapiens,,Human
CP073596.1,Homo sapiens,,Human
CP073598.1,Homo sapiens,,Human
CP073600.1,Homo sapiens,,Human
CP073602.1,Homo sapiens,,Human
CP073606.1,Homo sapiens,,Human
CP073605.1,Homo sapiens,,Human
CP073604.1,Homo sapiens,,Human
CP073608.1,Homo sapiens,,Human
CP073612.1,Homo sapiens,,Human
CP073611.1,Homo sapiens,,Human
CP073610.1,Homo sapiens,,Human
CP073616.1,Homo sapiens,,Human
CP073615.1,Homo sapiens,,Human
CP073614.1,Homo sapiens,,Human
CP073618.1,Homo sapiens,,Human
CP073620.1,Homo sapiens,,Human
CP073337.1,Chicken meat,Chicken meat,Env.
CP073334.1,Chicken meat,Chicken meat,Env.
CP073330.1,Pork,Pork,Animal
CP073329.1,Pork,Pork,Animal
CP073327.1,Pork,Pork,Animal
CP073332.1,clinical,clinical,Human
CP073325.1,beef,beef,Env.
CP073324.1,beef,beef,Env.
CP073322.1,Homo sapiens,clinical,Human
CP073109.1,environmental,environmental,Env.
CP073108.1,environmental,environmental,Env.
CP073286.1,Homo sapiens,,Human
CP071069.1,Homo sapiens,decubitus ulcer,Human
CP069422.1,Bos taurus,Bovine rumen,Animal
CP071865.2,Skeletonema costatum,,Env.
CP070889.2,Skeletonema costatum,,Env.
CP070888.2,Skeletonema costatum,,Env.
CP070887.2,Skeletonema costatum,,Env.
CP070886.2,Skeletonema costatum,,Env.
CP070885.2,Skeletonema costatum,,Env.
CP070884.2,Skeletonema costatum,,Env.
CP072912.1,Homo sapiens,cerebrospinal fluid from newborn infant,Human
CP072877.1,sludge,sludge,Env.
CP072747.1,noduls from roots of Medicago sativa,noduls from roots of Medicago sativa,Env.
AP024133.2,Homo sapiens,,Human
AP024132.2,Homo sapiens,,Human
AP024129.1,Bos taurus,,Animal
AP024128.1,Bos taurus,,Animal
AP024127.1,Bos taurus,,Animal
AP024125.1,Bos taurus,,Animal
AP024124.1,Bos taurus,,Animal
AP024122.1,Homo sapiens,,Human
AP024121.1,Homo sapiens,,Human
AP024120.1,Homo sapiens,,Human
AP024119.1,Homo sapiens,,Human
AP024118.1,Homo sapiens,,Human
AP024117.1,Homo sapiens,,Human
AP024116.1,Homo sapiens,,Human
AP024115.1,Homo sapiens,,Human
AP024113.1,Homo sapiens,,Human
LC521853.1,Homo sapiens,,Human
LC521852.1,Homo sapiens,,Human
LC521851.1,Homo sapiens,,Human
LC521849.1,Homo sapiens,,Human
LC521848.1,Homo sapiens,,Human
LC521847.1,Homo sapiens,,Human
LC521846.1,Homo sapiens,,Human
LC521845.1,Homo sapiens,,Human
LC521844.1,Homo sapiens,,Human
LC521843.1,Homo sapiens,,Human
LC521842.1,Homo sapiens,,Human
LC521841.1,Homo sapiens,,Human
LC521840.1,Homo sapiens,,Human
LC521839.1,Homo sapiens,,Human
LC521838.1,Homo sapiens,,Human
LC521837.1,Homo sapiens,,Human
LC521836.1,Homo sapiens,,Human
LC521835.1,Homo sapiens,,Human
LC521834.1,Homo sapiens,,Human
LC521833.1,Homo sapiens,,Human
CP048936.1,Homo sapiens,,Human
CP071866.2,Skeletonema costatum,,Env.
CP070882.2,Skeletonema costatum,,Env.
CP070881.2,Skeletonema costatum,,Env.
CP070880.2,Skeletonema costatum,,Env.
CP070879.2,Skeletonema costatum,,Env.
CP070878.2,Skeletonema costatum,,Env.
CP070877.2,Skeletonema costatum,,Env.
CP049222.1,Clematis,,Env.
CP049221.1,Clematis,,Env.
CP049220.1,Clematis,,Env.
CP049219.1,Clematis,,Env.
CP049218.1,Clematis,,Env.
LC620535.1,Sus scrofa,,Animal
LC620534.1,Sus scrofa,,Animal
LC620533.1,Sus scrofa,,Animal
MT809700.1,Homo sapiens,,Human
MT809692.1,Homo sapiens,,Human
MT809697.1,Homo sapiens,,Human
MT809698.1,Homo sapiens,,Human
MT809702.1,Homo sapiens,,Human
CP070234.1,freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter,freshwater lake cyanobacterial bloom; sample filtered onto 1.2 um poresize filter,Env.
LC613147.1,Homo sapiens,,Human
LC613146.1,Homo sapiens,,Human
LC613145.1,Homo sapiens,,Human
LC613144.1,Homo sapiens,,Human
LC613143.1,Homo sapiens,,Human
LC613142.1,Homo sapiens,,Human
CP071322.1,sediment in spartina alterniflora,sediment in spartina alterniflora,Env.
CP071170.1,Homo sapiens,,Human
CP071169.1,Homo sapiens,,Human
CP071168.1,Homo sapiens,,Human
CP071275.1,Homo sapiens,Rectal Swab,Human
CP071274.1,Homo sapiens,Rectal Swab,Human
CP071273.1,Homo sapiens,Rectal Swab,Human
CP071272.1,Homo sapiens,Rectal Swab,Human
CP071153.1,Homo sapiens,,Human
CP071152.1,Homo sapiens,,Human
CP066781.1,Pyrus pyrifolia,,Env.
LC602695.1,Homo sapiens,,Human
CP068929.1,Homo sapiens,,Human
CP068837.1,Homo sapiens,,Human
CP070855.1,"Fu-Tsai (Fermented vegetable, food)","Fu-Tsai (Fermented vegetable, food)",Env.
CP070854.1,"Fu-Tsai (Fermented vegetable, food)","Fu-Tsai (Fermented vegetable, food)",Env.
CP070853.1,"Fu-Tsai (Fermented vegetable, food)","Fu-Tsai (Fermented vegetable, food)",Env.
CP070852.1,"Fu-Tsai (Fermented vegetable, food)","Fu-Tsai (Fermented vegetable, food)",Env.
AP024497.1,Canis lupus familiaris,,Animal
AP024496.1,Canis lupus familiaris,,Animal
CP070303.1,Homo sapiens,human,Human
CP036400.2,Homo sapiens,,Human
CP070397.1,chicken meat inner strip,chicken meat inner strip,Animal
CP070396.1,chicken meat inner strip,chicken meat inner strip,Animal
CP070395.1,chicken meat inner strip,chicken meat inner strip,Animal
CP070394.1,chicken meat inner strip,chicken meat inner strip,Animal
CP070402.1,chicken caecal content,chicken caecal content,Animal
CP070401.1,chicken caecal content,chicken caecal content,Animal
CP070400.1,chicken caecal content,chicken caecal content,Animal
CP070398.1,chicken caecal content,chicken caecal content,Animal
CP070406.1,chicken caecal content,chicken caecal content,Animal
CP070405.1,chicken caecal content,chicken caecal content,Animal
CP070404.1,chicken caecal content,chicken caecal content,Animal
CP032505.1,Dairy Fermentation,Dairy Fermentation,Env.
CP032504.1,Dairy Fermentation,Dairy Fermentation,Env.
CP032503.1,Dairy Fermentation,Dairy Fermentation,Env.
CP032502.1,Dairy Fermentation,Dairy Fermentation,Env.
CP032501.1,Dairy Fermentation,Dairy Fermentation,Env.
CP070278.1,cold seep,cold seep,Env.
CP070277.1,cold seep,cold seep,Env.
CP069395.1,cold seep,cold seep,Env.
CP053011.1,Homo sapiens,nose; prosthetic joint infection,Human
CP053010.1,Homo sapiens,nose; prosthetic joint infection,Human
CP053009.1,Homo sapiens,nose; prosthetic joint infection,Human
CP053008.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052977.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052976.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052972.1,Homo sapiens,nose; prosthetic joint infection,Human
CP053006.1,Homo sapiens,nose; prosthetic joint infection,Human
CP053004.1,Homo sapiens,nose; prosthetic joint infection,Human
CP053003.1,Homo sapiens,nose; prosthetic joint infection,Human
CP053001.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052996.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052995.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052983.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052982.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052980.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052979.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052974.1,Homo sapiens,nose; prosthetic joint infection,Human
CP053091.1,Homo sapiens,nose; prosthetic joint infection,Human
CP053090.1,Homo sapiens,nose; prosthetic joint infection,Human
CP053089.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052970.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052968.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052966.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052965.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052964.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052961.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052960.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052958.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052957.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052956.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052954.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052952.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052950.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052949.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052947.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052946.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052945.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052944.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052943.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052942.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052987.1,Homo sapiens,nose; prosthetic joint infection,Human
CP052986.1,Homo sapiens,nose; prosthetic joint infection,Human
CP051832.1,cattle,feces,Animal
CP051831.1,cattle,feces,Animal
CP051829.1,cattle,feces,Animal
CP051828.1,cattle,feces,Animal
CP051826.1,cattle,feces,Animal
CP051825.1,cattle,feces,Animal
CP051820.1,cattle,feces,Animal
CP051817.1,cattle,feces,Animal
CP051815.1,cattle,feces,Animal
CP051813.1,cattle,feces,Animal
CP051810.1,cattle,feces,Animal
CP051809.1,cattle,feces,Animal
CP051838.1,cattle,feces,Animal
CP051807.1,cattle,feces,Animal
CP051805.1,cattle,feces,Animal
CP051803.1,cattle,feces,Animal
CP051801.1,cattle,feces,Animal
CP051797.1,cattle,feces,Animal
CP051795.1,cattle,feces,Animal
CP051794.1,cattle,feces,Animal
CP051793.1,cattle,feces,Animal
CP051791.1,cattle,feces,Animal
CP051789.1,cattle,feces,Animal
CP051788.1,cattle,feces,Animal
CP051787.1,cattle,feces,Animal
CP051785.1,cattle,feces,Animal
CP051784.1,cattle,feces,Animal
CP051783.1,cattle,feces,Animal
CP051781.1,cattle,feces,Animal
CP051780.1,cattle,feces,Animal
CP051779.1,cattle,feces,Animal
CP051777.1,cattle,feces,Animal
CP047170.1,"shallow sea, symbosis with harmful algal bloom algae","shallow sea, symbosis with harmful algal bloom algae",Env.
CP047169.1,"shallow sea, symbosis with harmful algal bloom algae","shallow sea, symbosis with harmful algal bloom algae",Env.
CP047168.1,"shallow sea, symbosis with harmful algal bloom algae","shallow sea, symbosis with harmful algal bloom algae",Env.
CP047167.1,"shallow sea, symbosis with harmful algal bloom algae","shallow sea, symbosis with harmful algal bloom algae",Env.
LC603215.1,Homo sapiens,,Human
CP060479.1,Citrus,,Env.
CP060478.1,Citrus,,Env.
CP060477.1,Citrus,,Env.
CP069022.1,Skeletonema menzelii,,Env.
CP069021.1,Skeletonema menzelii,,Env.
CP069020.1,Skeletonema menzelii,,Env.
CP069019.1,Skeletonema menzelii,,Env.
CP069018.1,Skeletonema menzelii,,Env.
CP068981.1,variety pack luncheon meat turkey and ham,variety pack luncheon meat turkey and ham,Env.
CP068980.1,variety pack luncheon meat turkey and ham,variety pack luncheon meat turkey and ham,Env.
CP068978.1,beef sausage link,beef sausage link,Env.
CP068243.1,swine,swine,Animal
CP068027.1,female,Cerebro-Spinal Fluid,Human
CP066320.1,environmental,environmental,Env.
CP066319.1,environmental,environmental,Env.
CP066323.1,environmental,environmental,Env.
CP066322.1,environmental,environmental,Env.
CP066327.1,environmental,environmental,Env.
CP066326.1,environmental,environmental,Env.
CP066332.1,environmental,environmental,Env.
CP066331.1,environmental,environmental,Env.
CP066330.1,environmental,environmental,Env.
CP066329.1,environmental,environmental,Env.
CP066262.1,drag swab of litter-farm,drag swab of litter-farm,Env.
CP066261.1,drag swab of litter-farm,drag swab of litter-farm,Env.
CP066334.1,cloacae swab- farm,cloacae swab- farm,Animal
CP066336.1,cloacae swab- farm,cloacae swab- farm,Animal
CP051629.1,potato,stem,Env.
CP051409.1,swine,swine,Animal
CP051408.1,swine,swine,Animal
CP050684.1,Homo sapiens,blood,Human
CP066202.1,Sus scrofa domesticus,feces,Animal
CP066201.1,Sus scrofa domesticus,feces,Animal
CP066200.1,Sus scrofa domesticus,feces,Animal
CP066199.1,Sus scrofa domesticus,feces,Animal
CP066198.1,Sus scrofa domesticus,feces,Animal
CP065864.1,broken egg shells- hatchery,broken egg shells- hatchery,Env.
CP065863.1,broken egg shells- hatchery,broken egg shells- hatchery,Env.
CP065862.1,broken egg shells- hatchery,broken egg shells- hatchery,Env.
CP065861.1,broken egg shells- hatchery,broken egg shells- hatchery,Env.
CP065860.1,broken egg shells- hatchery,broken egg shells- hatchery,Env.
CP048874.1,Homo sapiens,urine,Human
CP048872.1,Homo sapiens,urine,Human
CP048871.1,Homo sapiens,urine,Human
CP048869.1,Homo sapiens,urine,Human
CP048868.1,Homo sapiens,urine,Human
CP048866.1,Homo sapiens,blood,Human
CP048864.1,Homo sapiens,blood,Human
CP048862.1,Homo sapiens,blood,Human
CP048861.1,Homo sapiens,blood,Human
CP048859.1,Homo sapiens,blood,Human
CP048858.1,Homo sapiens,blood,Human
CP048856.1,Homo sapiens,blood,Human
CP048854.1,Homo sapiens,urine,Human
CP063962.1,Bovine,feces,Animal
CP063961.1,Bovine,feces,Animal
CP063960.1,Bovine,feces,Animal
CP063825.1,Ham,Ham,Env.
CP063824.1,Ham,Ham,Env.
CP063823.1,Ham,Ham,Env.
CP065559.1,Homo sapiens,feces,Human
CP065558.1,Homo sapiens,feces,Human
CP065557.1,Homo sapiens,feces,Human
CP065556.1,Homo sapiens,feces,Human
CP065555.1,Homo sapiens,feces,Human
CP065520.1,Kandelia candel (mangrove),,Env.
CP065519.1,Kandelia candel (mangrove),,Env.
CP065518.1,Kandelia candel (mangrove),,Env.
AP023241.1,gill tissue of Bathymodiolus japonicus,gill tissue of Bathymodiolus japonicus,Animal
CP065422.1,soil,soil,Env.
CP065219.1,Homo sapiens,not provided,Human
CP064854.1,Homo sapiens,blood,Human
CP064853.1,Homo sapiens,blood,Human
CP064852.1,Homo sapiens,blood,Human
CP043361.1,Homo sapiens,,Human
CP043360.1,Homo sapiens,,Human
CP043359.1,Homo sapiens,,Human
CP043358.1,Homo sapiens,,Human
CP043356.1,Homo sapiens,,Human
CP043355.1,Homo sapiens,,Human
CP043354.1,Homo sapiens,,Human
CP064824.1,Homo sapiens,sputum,Human
CP064823.1,Homo sapiens,sputum,Human
CP064822.1,Homo sapiens,sputum,Human
CP064821.1,Homo sapiens,sputum,Human
CP063527.1,Estuary water environment,Estuary water environment,Env.
CP014330.2,Citrus,,Env.
CP009825.1,Citrus,,Env.
CP009824.1,Citrus,,Env.
